,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
GZMA,542.971.850.979.855,102.407.768.522.575,312.207.771.180.196,328.011.593.482.947,103.764.437.082.888,124.984.540.057.586,FALSE
RAB31,162.248.495.305.763,-102.241.718.122.891,32.556.449.972.476,-314.044.431.162.885,168.691.775.791.935,175.701.342.731.235,FALSE
THEMIS2,353.413.088.724.357,-102.165.438.279.238,331.607.875.887.543,-308.091.109.132.416,206.368.260.109.897,202.724.376.102.789,FALSE
FGFBP2,602.932.997.183.429,102.150.643.493.635,360.430.626.085.965,283.412.773.778.197,459.509.602.441.822,354.101.825.395.201,FALSE
TIMM50,939.035.823.242.897,102.022.288.736.033,356.107.008.872.539,286.493.346.646.119,417.096.867.337.173,331.874.493.691.168,FALSE
WAS,333.789.288.689.857,-101.967.313.566.655,345.799.963.783.225,-294.873.696.489.384,319.075.419.472.068,275.477.301.974.181,FALSE
C5orf63,26.967.605.964.573,101.898.431.670.502,364.986.919.054.761,279.183.790.844.883,524.096.030.576.846,387.778.925.253.661,FALSE
LRRK1,150.385.970.959.307,-10.182.265.672.295,35.990.544.350.437,-282.915.022.711.275,466.717.853.248.477,356.299.992.259.482,FALSE
SUOX,738.076.288.527.861,-101.735.755.659.946,250.944.962.191.194,-405.410.631.764.084,"5,03E+09",13.255.698.463.958,FALSE
TOR1AIP1,607.897.571.116.953,-101.719.979.084.067,269.456.894.389.117,-377.500.005.389.265,160.007.628.909.445,32.356.152.619.011,FALSE
TTYH3,775.064.979.243.667,-10.166.417.586.379,365.879.514.734.216,-277.862.443.153.291,545.896.008.220.021,400.639.895.350.666,FALSE
CD300A,219.002.862.264.502,-101.434.225.388.915,337.981.699.572.924,-300.117.507.891.958,268.939.885.943.774,243.927.716.422.565,FALSE
PRR13,166.670.852.549.053,-101.173.401.759.964,343.184.479.222.023,-294.807.626.467.601,319.758.169.225.312,27.585.793.646.102,FALSE
CPEB2,23.355.962.399.946,-101.149.153.353.023,361.471.991.899.205,-279.825.700.524.063,513.792.127.043.615,383.641.190.048.366,FALSE
LY9,23.611.266.527.604,101.113.553.290.455,297.707.488.380.752,339.640.611.126.099,682.769.762.695.104,937.062.472.146.529,FALSE
CA5B,109.804.840.605.824,101.097.035.831.803,273.418.041.164.557,369.752.615.449.971,217.710.794.317.916,40.112.950.067.784,FALSE
LRRC45,45.397.047.683.349,101.017.305.321.385,353.238.064.010.027,285.975.141.451.679,423.973.202.735,335.713.860.562.995,FALSE
ABHD3,584.816.270.396.419,-100.950.269.944.541,334.638.378.946.942,-301.669.731.553.855,255.544.842.044.592,235.229.130.227.488,FALSE
NOD1,213.742.256.180.618,-100.886.217.293.867,242.269.096.031.316,-416.422.147.713.082,"3,12E+09",904.343.384.030.418,FALSE
OFD1,123.526.713.811.023,100.830.592.143.575,328.602.867.500.001,30.684.635.502.633,215.162.574.726.242,207.593.810.840.538,FALSE
LIMA1,535.758.350.334.566,10.079.376.017.137,27.924.526.412.015,360.950.652.069.079,30.678.006.257.184,522.212.927.407.736,FALSE
DDX50,105.729.406.491.107,100.716.788.377.609,273.967.610.818.955,367.622.975.856.679,23.670.635.313.289,426.482.773.693.619,FALSE
MCL1,145.445.161.830.138,-100.431.454.907.594,273.923.228.171.059,-366.640.885.397.556,245.980.536.751.318,44.040.942.255.083,FALSE
OGFR,181.691.130.112.588,-100.372.924.203.621,261.726.606.801.356,-383.502.943.893.669,125.549.255.957.536,269.658.995.140.433,FALSE
NAA16,962.739.755.248.246,100.365.083.781.118,342.366.340.618.699,293.151.142.135.486,337.316.962.472.717,286.520.285.461.028,FALSE
DYRK2,358.809.858.597.604,100.351.612.369.579,362.445.715.300.673,276.873.496.176.745,562.743.926.583.178,411.717.395.504.286,FALSE
MYB,195.743.397.202.205,100.269.369.926.566,36.627.849.179.747,273.751.727.639.002,619.048.684.403.767,438.797.404.948.723,FALSE
MCRS1,227.733.506.026.243,100.085.213.045.486,340.966.348.006.701,293.533.991.347.202,333.182.483.041.156,284.640.166.223.549,FALSE
ZNF222,379.663.956.472.096,-999.548.401.569.957,282.475.176.870.135,-353.853.535.962.025,402.353.389.509.616,639.114.262.863.116,FALSE
TARSL2,345.440.771.652.786,99.933.175.565.468,362.372.989.582.309,275.774.349.740.185,582.018.479.415.088,419.660.978.980.776,FALSE
AIG1,617.225.902.866.858,-998.909.842.018.234,362.290.729.991.154,-27.572.050.823.454,582.977.753.106.394,420.016.505.001.796,FALSE
NETO2,321.070.280.123.383,-998.058.606.103.533,325.628.374.753.759,-306.502.345.459.995,217.652.927.565.653,209.074.022.913.229,FALSE
CECR5,133.095.519.451.361,997.598.235.864.191,344.040.008.238.658,289.965.763.276.045,373.570.452.895.531,309.634.521.458.832,FALSE
TNPO3,380.780.093.301.124,-997.268.341.597.609,302.483.854.824.773,-329.693.081.363.076,977.475.766.733.566,120.650.553.242.384,FALSE
SSB,37.999.445.400.694,-99.661.181.907.775,364.162.428.090.502,-273.672.334.706.114,620.544.549.015.485,439.052.448.636.795,FALSE
NFKBIA,154.102.695.046.748,-996.441.493.306.384,269.006.160.747.795,-37.041.586.353.875,212.093.506.759.578,395.896.308.444.024,FALSE
EIF4B,986.413.883.074.879,995.711.397.872.779,237.457.613.741.713,41.932.174.007.098,"2,75E+09",821.117.121.097.352,FALSE
BBS12,233.008.719.550.169,-995.630.383.862.163,344.514.244.692.418,-28.899.541.868.031,385.297.973.099.221,316.593.903.688.517,FALSE
NUP93,112.492.714.217.259,994.994.380.709.859,347.524.468.628.162,286.309.158.211.955,419.529.283.643.713,333.198.571.027.615,FALSE
MAPKAPK2,127.381.756.412.046,-994.793.346.985.547,277.984.018.217.884,-357.859.906.250.376,345.440.932.819.957,571.886.388.249.539,FALSE
B3GLCT,245.756.518.473.835,994.741.515.851.609,331.776.139.071.544,299.823.103.203.062,271.551.732.957.157,244.825.890.464.536,FALSE
LTBP4,135.879.099.069.173,993.195.344.875.779,338.166.332.347.346,293.700.244.486.675,331.401.491.077.968,283.330.884.988.323,FALSE
PRPSAP2,104.365.326.937.817,992.842.967.202.943,320.760.770.890.021,309.527.553.649.432,196.630.139.611.086,196.716.380.900.389,FALSE
TSPAN14,25869031.24.00,-992.247.385.490.049,230.329.586.177.783,-430.794.585.253.225,"1,65E+09",55.765.275.167.468,FALSE
PLEKHO2,231.042.816.871.375,-992.220.363.457.326,287.833.762.334.555,-344.719.936.747.396,56.643.042.154.117,811.575.245.939.327,FALSE
DAP3,290.081.697.859.524,990.802.462.500.954,284.739.813.584.014,347.967.658.624.815,502.019.406.463.648,743.575.497.495.832,FALSE
TBX19,375.076.273.578.226,-989.258.434.670.661,26.970.499.718.851,-366.792.771.725.776,24.452.428.517.643,438.490.483.087.607,FALSE
TRG-AS1,114.076.386.187.773,988.342.507.338.664,349.343.398.346.145,282.914.322.130.505,4.667.280.705.521,356.299.992.259.482,FALSE
CCT2,291.710.222.606.145,988.328.574.495.307,356.986.992.805.911,276.852.825.008.291,56.310.103.640.357,411.717.395.504.286,FALSE
ZNF395,247.301.715.418.417,985.235.372.912.907,327.322.608.478.074,300.998.265.134.779,261.262.612.248.268,239.333.340.778.433,FALSE
NHLRC3,168.346.496.355.387,-984.967.712.065.979,288.792.080.618.939,-341.064.654.527.575,648.090.461.398.086,901.398.989.298.192,FALSE
VAV3,294.367.748.273.123,-983.772.048.936.086,26.468.112.183.349,-37.168.198.552.331,201.746.184.658.599,38.476.843.411.895,FALSE
AGL,783.081.778.892.255,983.351.384.209.581,340.420.689.204.256,288.863.578.329.565,386.916.939.871.317,317.010.610.577.038,FALSE
HIST1H2BK,404.582.915.132.951,-982.646.384.016.054,330.809.175.392.245,-297.043.267.572.889,297.380.579.745.261,262.362.524.503.378,FALSE
MSL3P1,666.059.515.107.385,-981.281.364.794.273,290.372.248.702.805,-337.939.100.302.458,72.646.607.311.847,976.445.316.701.154,FALSE
POLR2A,205.863.881.067.287,-980.776.413.137.202,249.108.422.795.499,-393.714.673.366.284,"8,25E+09",196.158.939.214.687,FALSE
GNPDA2,26.178.293.869.865,978.107.013.984.309,293.514.499.128.603,333.239.760.518.867,861.011.479.714.971,110.335.235.125.272,FALSE
SLC17A5,773.253.089.734.559,-978.016.278.755.915,318.064.395.256.974,-307.490.021.939.031,210.572.988.909.222,205.439.259.068.407,FALSE
LRBA,158.346.769.329.603,976.511.958.448.912,329.667.455.098.021,296.211.210.220.482,305.536.520.371.028,267.637.789.157.571,FALSE
USP42,142.291.159.434.734,-974.650.169.517.825,224.458.506.291.161,-434.222.870.686.637,"1,41E+09",490.430.977.864.499,FALSE
EPB41L4A,261.317.552.733.737,974.411.754.237.904,352.749.730.958.613,276.233.167.234.429,573.901.458.275.864,416.370.619.060.829,FALSE
C7orf49,295.983.458.442.436,-974.062.264.027.211,258.644.853.366.207,-376.602.221.675.785,165.869.038.984.562,331.607.993.607.979,FALSE
LPP-AS2,240.943.888.778.692,-97.395.893.161.577,353.477.820.256.483,-275.536.080.569.091,586.274.443.578.465,422.125.001.831.591,FALSE
GCFC2,294.339.986.311.525,973.864.151.387.545,35.293.283.986.361,275.934.693.910.573,579.170.111.796.528,418.595.381.814.918,FALSE
NPRL2,107.484.837.828.946,972.732.966.163.508,358.141.780.534.901,271.605.553.730.896,660.648.346.816.456,456.925.069.462.807,FALSE
FAM49B,27147123.44.00,-972.636.163.101.271,358.556.487.551.491,-271.264.416.310.859,667.487.401.840.856,461.095.930.829.495,FALSE
USP15,241.271.636.661.477,-97.204.417.938.781,325.475.584.789.753,-298.653.485.795.476,28.215.866.882.308,251.801.222.060.033,FALSE
C3orf18,312.922.799.586.674,971.096.724.837.885,346.546.722.240.703,280.221.009.899.896,507.538.086.030.197,380.070.378.934.629,FALSE
DNAJA1,115.781.137.818.122,-97.027.444.245.305,310.575.639.215.731,-312.411.638.241.556,178.339.901.912.274,182.635.587.394.498,FALSE
CEP95,690.199.903.786.999,969.062.644.353.574,302.579.594.107.942,3.202.670.184.057,13.615.982.221.198,150.320.627.566.161,FALSE
LAT,6.625.234.391.891,968.608.235.187.591,3.059.173.883.465,316.624.118.825.991,15.442.269.553.241,164.733.801.051.783,FALSE
NRBF2,75.527.594.675.034,-96.608.748.200.863,31.002.044.268.171,-311.620.573.679.552,183.194.413.468.619,186.214.998.717.433,FALSE
BMPR2,240.582.146.189.126,-965.432.419.580.107,275.848.077.620.831,-349.987.002.957.167,465.485.055.561.271,707.847.607.823.506,FALSE
KIF22,122.274.991.311.975,964.843.502.222.151,339.391.571.146.314,284.286.229.903.511,447.103.828.614.556,347.975.808.654.539,FALSE
TCF25,630.218.556.839.598,963.506.965.383.949,195.297.403.146.196,493.353.700.490.674,"8,08E+07","5,48E+09",FALSE
MYPOP,832.274.034.286.092,-963.394.863.763.087,294.217.044.246.855,-327.443.593.973.018,10.587.314.102.336,12.657.056.324.648,FALSE
C17orf75,273.163.855.499.827,958.924.366.107.731,306.720.568.855.579,312.637.776.359.643,176.974.058.890.533,181.836.859.607.796,FALSE
NRD1,126.563.161.357.356,-958.395.199.212.795,310.028.428.613.398,-309.131.392.723.957,199.272.832.966.827,198.143.562.335.367,FALSE
MAP3K4,93.655.350.936.971,95.770.427.692.671,261.330.194.160.898,366.472.875.437.066,247.600.852.667.556,442.615.630.826.564,FALSE
HIAT1,320.467.433.882.018,-957.372.966.055.324,321.635.274.075.812,-297.657.950.859.476,291.483.490.348.514,257.902.964.113.639,FALSE
ZNF528,26.703.310.291.594,956.188.261.678.231,313.879.580.833.585,304.635.382.505.238,231.635.077.261.084,219.054.565.187.617,FALSE
PANK2,471.731.948.525.133,-95.608.252.279.533,305.465.587.234.633,-312.991.892.622.244,174.854.554.065.355,180.305.053.790.912,FALSE
RAB7A,275.040.370.550.687,-953.811.193.408.528,235.253.803.543.055,-405.439.223.104.405,"5,03E+09",13.255.698.463.958,FALSE
SH2D3A,712.780.172.161.311,952.307.972.800.106,340.693.593.230.819,279.520.364.257.311,518.670.319.379.188,385.370.357.818.869,FALSE
SLC7A5,128.136.242.105.335,-951.833.110.045.366,32.638.806.992.819,-291.626.195.238.932,354.252.936.151.065,297.565.102.764.872,FALSE
VDR,191.324.986.378.233,-951.637.039.817.731,280.649.780.768.805,-339.083.478.779.438,696.800.918.642.969,947.200.772.005.132,FALSE
RCN2,693.328.432.041.392,951.516.432.382.271,349.127.992.024.192,272.540.860.119.958,642.219.546.935.271,449.908.718.230.759,FALSE
TRIM6-TRIM34,237.234.602.211.511,-95.132.205.241.554,253.695.388.410.552,-374.985.946.089.027,176.933.703.488.217,346.128.454.250.962,FALSE
SLC35A5,205.143.356.469.797,-950.806.752.997.448,224.439.596.222.154,-423.635.922.092.963,"2,27E+09",723.718.101.472.121,FALSE
NIT1,259.142.272.610.084,-95.032.433.095.293,220.510.796.678.743,-430.964.989.137.214,"1,64E+09",55.502.025.705.518,FALSE
RAB3GAP1,245.495.625.139.226,-949.869.603.601.532,238.267.827.277.777,-398.656.257.730.574,"6,70E+09",165.489.642.665.029,FALSE
MOB1A,927.026.128.190.924,-9.487.637.339.839,336.015.417.800.984,-282.357.202.592.958,474.917.537.444.259,361.577.737.954.057,FALSE
EEF2K,78.754.772.691.301,948.031.355.017.598,282.238.857.160.647,335.896.823.192.559,78.234.060.477.495,102.676.577.646.241,FALSE
ERP44,701.321.066.964.289,-948.000.782.385.989,236.552.064.200.752,-400.757.772.116.274,"6,13E+09",154.074.363.220.842,FALSE
CALR,334.561.210.483.185,-947.846.413.422.564,308.389.034.367.911,-307.354.123.458.156,21.153.445.200.308,205.941.169.247.725,FALSE
LOXL3,940.214.132.311.758,-946.134.441.637.795,29.891.189.967.856,-316.526.188.035.751,154.943.426.694.809,164.998.112.180.607,FALSE
TFDP2,165.367.792.671.674,945.674.740.661.652,327.798.741.095.895,288.492.487.036.429,391.507.080.368.466,319.310.913.627.866,FALSE
MSL3,908.004.569.391.173,-945.659.579.317.188,339.356.364.300.363,-278.662.691.730.215,532.597.575.092.212,392.902.674.251.402,FALSE
RGS19,188.098.235.466.106,-944.650.430.803.396,32.845.856.823.359,-287.601.092.546.804,402.735.771.708.285,324.378.635.334.251,FALSE
SPPL2A,12.924.806.235.957,-94.383.337.373.286,344.390.879.859.999,-274.058.759.661.854,61.329.431.692.761,435.259.594.558.768,FALSE
BCL11B,500.494.358.974.145,94.333.988.749.615,348.110.312.914.332,270.988.779.274.776,673.059.735.691.532,46.354.144.236.485,FALSE
ADCK3,240.513.930.914.092,943.338.554.899.616,266.915.658.167.194,353.421.961.595.342,408.981.101.478.643,645.149.303.231.525,FALSE
TRAF1,241.473.971.609.837,942.784.696.450.489,337.250.485.885.042,27.955.028.559.154,518.190.439.508.566,385.264.795.475.567,FALSE
FOXN2,46.291.205.944.385,-942.730.219.430.402,344.847.081.320.318,-273.376.308.078.632,626.150.802.690.299,442.145.894.433.055,FALSE
TSPAN32,188.292.570.023.209,942.664.016.841.367,303.220.304.521.032,310.884.199.635.115,187.822.132.367.668,189.363.639.744.044,FALSE
ABHD14B,267.966.178.636.751,941.884.780.403.861,301.866.324.030.988,312.020.489.011.941,180.725.285.281.654,18.419.766.565.123,FALSE
ADAM17,217.060.632.351.361,-940.885.896.148.898,344.645.621.792.759,-273.000.971.622.575,633.324.589.301.152,445.771.517.059.977,FALSE
REPS1,949.290.536.743.312,940.021.258.252.137,305.003.743.313.903,308.199.908.643.314,205.615.468.493.273,2.023.624.879.709,FALSE
MTA1,182.382.304.117.649,939.437.875.020.627,299.124.383.968.187,314.062.619.221.488,16.858.706.016.488,175.701.342.731.235,FALSE
LYN,581.735.395.948.248,-938.056.184.309.685,319.830.063.096.413,-293.298.314.494.878,33.572.211.726.816,286.380.758.971.082,FALSE
WDR11,181.309.763.030.567,937.749.798.502.244,304.683.476.488.885,307.778.357.168.789,208.546.315.679.622,204.160.577.710.394,FALSE
KPNA2,945.258.310.731.007,-936.694.474.682.414,322.333.611.313.777,-290.597.828.400.398,366.106.856.465.501,304.777.277.225.477,FALSE
ARRDC3,152.391.427.582.456,-936.596.863.377.865,330.243.678.157.051,-283.607.810.028.223,456.712.760.449.105,352.900.340.983.879,FALSE
KLHDC3,415.481.623.240.006,935.275.043.388.272,28.451.255.872.806,328.728.913.609.124,101.156.914.232.652,12.308.898.373.531,FALSE
STX17,3.072.866.340.957,-933.794.042.151.439,244.129.172.953.687,-382.499.981.814.376,130.772.183.016.806,279.299.016.349.564,FALSE
RIT1,478.780.065.762.756,-932.810.600.197.817,244.970.741.893.469,-380.784.494.094.185,140.183.123.398.481,293.899.410.124.315,FALSE
IGIP,443.997.531.473.757,932.605.663.721.008,303.934.989.007.008,306.843.798.000.336,215.180.988.772.182,207.593.810.840.538,FALSE
PPIL3,5.842.662.714.461,931.208.391.526.195,263.788.061.132.528,353.013.850.410.142,415.342.173.364.101,652.476.237.908.756,FALSE
FGD2,102.168.558.081.969,-931.056.300.916.647,324.606.974.999.565,-286.825.722.373.309,412.739.824.535.656,329.873.699.988.028,FALSE
NAP1L1,111.397.248.863.034,929.065.913.910.286,258.621.715.448.901,359.237.395.165.239,327.679.165.956.167,550.394.828.826.228,FALSE
WDTC1,117.338.326.709.518,-926.746.859.181.403,299.276.551.198.045,-309.662.369.294.055,195.738.180.030.935,195.995.956.387.429,FALSE
CDC42EP4,86.169.220.476.831,-926.549.019.109.879,302.568.351.659.144,-306.228.002.376.691,219.657.858.753.046,210.520.653.716.391,FALSE
RPS6KA5,62.306.276.240.105,924.513.075.986.827,330.580.457.297.638,279.663.560.134.301,516.377.368.857.371,384.418.008.604.329,FALSE
LONRF1,112.194.155.302.733,-924.443.047.991.852,279.332.694.663.666,-330.946.955.244.512,934.729.319.613.154,117.020.723.273.194,FALSE
RBBP8,792.629.856.354.563,-923.666.008.524.626,343.543.382.210.954,-268.864.445.177.246,717.427.878.474.106,48.530.634.365.345,FALSE
UBA2,157.931.804.256.326,923.101.023.865.224,244.420.514.709.113,377.669.208.725.713,158.925.002.755.671,321.943.100.608.958,FALSE
NCF2,760.023.404.293.608,-922.262.072.210.703,344.804.003.672.282,-267.474.293.334.269,747.865.708.106.287,49.967.243.122.157,FALSE
GNB5,826.631.293.349.577,921.454.729.425.088,248.179.792.024.819,371.285.156.582.345,204.937.091.872.523,386.589.536.384.206,FALSE
MTCH2,873.516.055.107.387,92.118.303.004.327,267.291.026.042.584,344.636.721.883.999,568.177.705.393.369,813.057.306.149.483,FALSE
HK2,559.151.378.147.641,-920.068.184.703.441,299.776.607.555.583,-306.917.938.729.708,214.647.661.216.638,207.593.810.840.538,FALSE
RNF146,412.676.499.436.344,-919.985.503.413.672,302.307.437.908.944,-30.432.116.053.022,234.067.677.692.478,22.062.329.455.229,FALSE
HEXDC,389.317.209.043.153,-919.647.196.975.267,337.492.021.510.986,-272.494.500.124.155,643.121.990.912.219,449.988.116.954.224,FALSE
CTSW,766.327.473.254.655,918.908.980.861.452,285.919.593.421.429,321.387.201.858.192,130.958.029.846.482,146.429.051.999.915,FALSE
PCYOX1,829.281.896.310.767,918.725.401.855.581,273.358.289.839.908,336.088.363.149.196,77.693.551.739.422,102.320.433.901.629,FALSE
NLRP3,283.324.040.367.321,-918.423.565.386.847,208.699.467.558.427,-440.069.913.034.027,"1,08E+09",402.166.588.481.442,FALSE
SLC25A44,653.500.164.674.458,-917.805.097.581.323,329.178.212.510.561,-278.817.085.305.085,530.065.806.592.289,39.143.175.703.726,FALSE
DIAPH2,851.497.092.644.331,-917.558.650.005.032,312.967.462.420.852,-293.180.205.669.808,337.001.467.544.134,286.520.285.461.028,FALSE
MFNG,72.323.448.780.496,917.478.838.306.024,322.677.366.826.018,284.333.186.219.631,446.445.580.975.443,347.794.525.343.233,FALSE
KLHL22,138.564.873.032.979,914.767.337.466.052,280.542.912.114.958,326.070.379.240.666,111.136.071.805.434,130.563.920.442.413,FALSE
DIP2B,631.464.733.248.092,-913.351.974.575.943,33.254.806.153.263,-274.652.623.252.872,602.300.691.313.297,430.399.370.823.946,FALSE
PSMD12,712.808.174.218.357,-913.320.831.402.859,33.558.246.570.004,-27.215.987.864.492,649.669.644.255.014,451.522.382.250.361,FALSE
CEP162,682.429.219.504,-912.239.713.208.979,275.460.698.400.875,-331.168.736.050.108,927.351.187.869.607,116.369.687.670.842,FALSE
TCIRG1,427.412.792.776.119,-910.499.894.274.623,286.370.417.429.875,-317.944.815.126.577,147.555.764.617.937,158.911.567.088.534,FALSE
CCND3,307.529.706.999.293,-910.179.029.451.225,314.303.448.473.832,-289.586.077.999.079,378.120.108.653.414,312.497.089.796.535,FALSE
UCKL1,126.138.982.256.512,909.966.382.970.959,22.915.529.848.598,397.095.938.423.885,"7,16E+09",17.482.078.175.678,FALSE
CRTAP,347.320.029.276.346,909.785.358.015.861,3.260.995.507.458,278.990.067.890.358,527.242.128.941.369,389.708.132.247.331,FALSE
NCSTN,883.488.482.749.584,-908.254.880.098.535,302.701.296.259.706,-300.049.881.292.641,26.953.780.433.645,243.927.716.422.565,FALSE
CD6,758.257.795.969.425,90.814.691.181.155,315.571.156.903.922,287.778.807.392.097,400.474.076.753.397,323.241.814.959.129,FALSE
DLG3,433.845.971.501.179,907.121.929.447.782,294.375.938.484.706,308.150.840.764.084,205.954.660.236.862,202.492.491.379.432,FALSE
MLLT11,302.114.142.777.248,906.609.200.607.593,307.952.943.222.463,294.398.615.295.151,324.014.496.007.086,278.476.663.674.515,FALSE
GTPBP3,613.933.987.698.517,906.510.890.109.269,317.178.103.583.137,285.805.003.519.626,426.253.172.788.242,336.430.272.363.315,FALSE
ALG6,474.499.381.778.163,905.869.074.437.845,290.806.003.952.227,311.502.878.938.723,183.926.957.385.781,186.793.138.823.226,FALSE
RNF125,247.623.571.664.291,905.853.369.143.665,286.786.471.625.906,315.863.354.365.366,158.510.667.940.552,167.390.200.727.963,FALSE
RPS25,2495767.18.00,904.996.148.705.346,336.461.640.260.717,268.974.539.862.578,7.150.655.091.637,484.570.536.661.438,FALSE
SP2,381.884.486.397.104,-904.517.397.987.847,225.396.473.686.393,-401.300.598.538.359,"6,00E+09",15.202.135.717.779,FALSE
HARBI1,230.108.898.610.311,-903.702.134.479.091,288.952.201.517.698,-312.751.427.306.131,176.291.259.856.409,18.129.863.107.866,FALSE
SLC9A7,106.798.610.039.955,899.990.427.086.379,283.842.396.558.239,317.073.995.287.282,152.051.194.653.828,162.983.446.901.025,FALSE
MAP3K13,834.862.350.706.654,-899.462.555.506.229,286.913.478.767.805,-313.496.096.233.998,171.876.982.201.849,178.205.180.182.917,FALSE
FCGR3A,102.983.837.574.243,-898.779.582.574.784,284.410.120.893.979,-316.015.330.168.165,157.686.146.861.801,167.138.522.765.691,FALSE
CDAN1,481.734.999.219.338,895.374.790.908.029,274.523.291.539.245,326.156.220.074.328,110.800.120.971.536,130.563.920.442.413,FALSE
PRKCE,837.019.631.268.575,-895.353.380.570.444,270.664.591.532.481,-330.798.120.101.719,939.711.173.650.457,117.386.702.469.698,FALSE
TRIP12,134.155.814.574.584,-894.602.758.744.103,275.850.620.582.468,-324.306.958.909.543,118.249.325.409.407,136.373.021.771.923,FALSE
ZAP70,114.083.717.426.381,893.845.639.664.501,254.316.680.785.782,351.469.528.818.446,440.258.834.280.008,679.452.233.418.605,FALSE
RGS3,46.130.730.290.034,-893.521.056.715.773,23.404.472.981.802,-381.773.628.233.596,134.681.777.584.675,286.575.685.327.093,FALSE
IRF9,197.714.598.934.925,-893.466.246.216.478,290.931.456.624.248,-307.105.411.213.897,213.304.489.813.555,206.689.694.674.902,FALSE
FGR,17255377.11.00,-893.202.036.245.566,2.500.093.520.431,-357.267.449.775.872,353.353.871.237.489,580.027.857.082.685,FALSE
MARK3,671.223.048.311.727,-892.843.580.944.699,225.658.998.082.853,-395.660.526.958.859,"7,60E+09",183.693.944.785.543,FALSE
KCTD1,156.877.702.690.594,-892.802.891.702.561,319.516.165.083.393,-27.942.338.737.996,520.228.400.506.922,386.025.042.796.451,FALSE
ESYT1,100.441.108.756.578,891.734.229.778.575,286.759.684.203.695,310.969.176.945.092,187.282.667.214.312,189.054.257.501.955,FALSE
ATF1,899.281.141.211.147,88.963.234.204.458,248.263.091.062.603,358.342.570.471.035,339.117.251.106.356,564.617.846.550.072,FALSE
EIF1AX,186.739.097.705.958,88.959.961.838.662,229.766.768.882.431,387.175.056.999.568,108.056.498.416.083,238.834.179.154.151,FALSE
NFYB,666.314.988.194.523,889.243.521.647.653,245.102.459.563.113,362.804.813.641.079,285.572.025.669.337,496.486.120.847.377,FALSE
WIPI1,174.580.537.240.545,-887.081.308.464.044,280.345.620.047.173,-316.424.172.532.026,155.487.596.929.618,165.332.961.796.918,FALSE
PPP2R2A,433.815.904.997.368,-885.562.379.885.691,283.492.837.977.606,-312.375.574.001.501,178.558.618.661.629,182.636.672.009.292,FALSE
PLCL1,321.105.039.566.417,884.832.722.786.443,315.985.506.299.552,280.023.198.895.593,510.658.925.873.562,382.156.499.316.796,FALSE
PRKCQ,146.505.605.539.259,884.608.950.453.102,275.123.788.450.994,321.531.247.964.285,130.302.596.575.885,146.120.654.746.014,FALSE
TTC13,160.442.377.458.687,883.619.727.162.193,291.228.351.621.087,303.411.299.842.076,241.244.051.772.578,225.338.936.156.122,FALSE
AGFG2,715.934.357.141.961,883.024.797.879.417,30.616.111.088.298,288.418.341.353.917,39.243.011.765.942,319.310.913.627.866,FALSE
CNOT4,158.649.487.144.371,-882.534.027.763.209,239.464.529.772.906,-368.544.781.392.114,228.300.860.572.463,415.937.909.717.082,FALSE
C1orf109,44.501.017.371.425,880.626.121.130.552,297.437.167.739.483,296.071.310.732.042,306.927.698.827.296,26.837.977.008.391,FALSE
DUS3L,862.031.754.773.684,879.560.496.101.827,320.604.382.104.631,274.344.502.195.475,607.982.280.243.237,432.055.137.558.409,FALSE
TARP,191.248.008.102.319,87.794.148.776.959,292.561.066.398.732,300.088.285.354.088,269.198.107.195.735,243.927.716.422.565,FALSE
UBA7,3825750.57.00,-877.936.595.729.329,21.272.098.119.708,-412.717.443.662.007,"3,67E+09",104.450.408.420.985,FALSE
ARL8B,488.084.228.350.918,-876.870.560.969.453,234.117.157.053.709,-374.543.485.836.149,180.081.571.496.925,349.290.871.245.311,FALSE
TSC22D4,180.856.175.974.497,-876.041.553.040.967,264.735.260.257.008,-330.912.305.444.502,935.886.937.944.701,117.037.176.833.984,FALSE
PRKACB,531.014.613.958.507,875.390.411.988.353,2.792.793.769.926,313.446.134.625.095,172.169.935.116.799,178.346.785.650.053,FALSE
ZNF439,610.887.927.368.931,875.384.720.050.034,307.755.593.780.443,284.441.530.143.086,444.930.132.886.975,346.850.865.726.312,FALSE
KCTD7,155.476.911.272.832,875.208.612.908.387,282.843.466.339.699,30.943.214.783.588,197.263.611.019.599,197.076.617.031.873,FALSE
LYRM7,816.161.112.762.539,872.892.072.160.053,290.105.730.482.049,300.887.566.305.438,262.216.404.303.463,239.821.819.653.649,FALSE
TMCC3,47.746.604.834.565,-872.239.145.227.324,294.266.557.288.419,-296.411.237.914.616,303.557.407.505.487,266.157.597.855.212,FALSE
UBE2D3,298.555.296.675.145,-870.283.397.793.471,305.167.615.064.847,-285.182.094.963.956,434.695.783.631.898,340.922.858.281.376,FALSE
R3HCC1,108.677.065.086.599,869.262.828.446.337,314.264.451.897.211,276.602.340.226.076,567.444.624.721.517,413.791.940.214.124,FALSE
C1GALT1C1,169.033.634.565.154,-868.437.540.153.358,302.445.564.706.204,-287.138.461.096.944,408.677.953.797.327,328.006.478.751.478,FALSE
SLC41A3,725.872.354.553.186,868.342.090.759.854,303.907.009.853.941,285.726.246.057.036,427.312.339.262.011,336.591.071.158.864,FALSE
